gen,primary_type,secondary_type,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychict,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,num_abilities,evo_length,has_mega_evolution,has_gigantamax,rarity
1.0,poison,No secondary type,0.0,100.0,0.8,20.0,120.0,5120.0,70.0,62.0,67.0,55.0,55.0,56.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,3.0,7.0,0.0,0.0,0.0
1.0,poison,ground,0.0,100.0,1.3,60.0,45.0,5120.0,90.0,92.0,87.0,75.0,85.0,76.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,3.0,7.0,0.0,0.0,0.0
1.0,poison,No secondary type,100.0,0.0,0.5,9.0,235.0,5120.0,46.0,57.0,40.0,40.0,40.0,50.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,3.0,7.0,0.0,0.0,0.0
1.0,poison,No secondary type,100.0,0.0,0.9,19.5,120.0,5120.0,61.0,72.0,57.0,55.0,55.0,65.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,3.0,7.0,0.0,0.0,0.0
1.0,poison,ground,100.0,0.0,1.4,62.0,45.0,5120.0,81.0,102.0,77.0,85.0,75.0,85.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,3.0,7.0,0.0,0.0,0.0
1.0,fairy,No secondary type,24.9,75.1,0.6,7.5,150.0,2560.0,70.0,45.0,48.0,60.0,65.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,3.0,5.0,0.0,0.0,0.0
1.0,fairy,No secondary type,24.9,75.1,1.3,40.0,25.0,2560.0,95.0,70.0,73.0,95.0,90.0,60.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,3.0,5.0,0.0,0.0,0.0
1.0,fire,ice,24.9,75.1,0.6,9.9,190.0,5120.0,38.0,41.0,40.0,50.0,65.0,65.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,2.0,3.0,0.0,0.0,0.0
1.0,fire,ice,24.9,75.1,1.1,19.9,75.0,5120.0,73.0,76.0,75.0,81.0,100.0,100.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,2.0,3.0,0.0,0.0,0.0
1.0,normal,fairy,24.9,75.1,0.5,5.5,170.0,2560.0,115.0,45.0,20.0,45.0,25.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,3.0,5.0,0.0,0.0,0.0
1.0,normal,fairy,24.9,75.1,1.0,12.0,50.0,2560.0,140.0,70.0,45.0,85.0,50.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,3.0,5.0,0.0,0.0,0.0
1.0,poison,flying,50.2,49.8,0.8,7.5,255.0,3840.0,40.0,45.0,35.0,30.0,40.0,55.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,2.0,5.0,0.0,0.0,0.0
1.0,poison,flying,50.2,49.8,1.6,55.0,90.0,3840.0,75.0,80.0,70.0,65.0,75.0,90.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,2.0,5.0,0.0,0.0,0.0
1.0,grass,poison,50.2,49.8,0.5,5.4,255.0,5120.0,45.0,50.0,55.0,75.0,65.0,30.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,7.0,0.0,0.0,0.0
1.0,grass,poison,50.2,49.8,0.8,8.6,120.0,5120.0,60.0,65.0,70.0,85.0,75.0,40.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,7.0,0.0,0.0,0.0
1.0,grass,poison,50.2,49.8,1.2,18.6,45.0,5120.0,75.0,80.0,85.0,110.0,90.0,50.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,5.0,0.0,0.0,0.0
1.0,bug,grass,50.0,50.0,0.3,5.4,190.0,5120.0,35.0,70.0,55.0,45.0,55.0,25.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0
1.0,bug,grass,50.0,50.0,1.0,29.5,75.0,5120.0,60.0,95.0,80.0,60.0,80.0,30.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0
1.0,bug,poison,50.0,50.0,1.0,30.0,190.0,5120.0,60.0,55.0,50.0,40.0,55.0,45.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,3.0,3.0,0.0,0.0,0.0
1.0,bug,poison,50.0,50.0,1.5,12.5,75.0,5120.0,70.0,65.0,60.0,90.0,75.0,90.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,3.0,3.0,0.0,0.0,0.0
1.0,ground,ground,50.2,49.8,0.2,0.8,255.0,5120.0,10.0,55.0,25.0,35.0,45.0,95.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0
1.0,ground,ground,50.2,49.8,0.7,33.3,50.0,5120.0,35.0,100.0,50.0,50.0,70.0,120.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0
1.0,normal,dark,50.2,49.8,0.4,4.2,255.0,5120.0,40.0,45.0,35.0,40.0,40.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0
1.0,normal,dark,50.2,49.8,1.0,32.0,90.0,5120.0,65.0,70.0,60.0,65.0,65.0,115.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0
1.0,water,No secondary type,50.2,49.8,0.8,19.6,190.0,5120.0,50.0,52.0,48.0,65.0,50.0,55.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,3.0,3.0,0.0,0.0,0.0
1.0,water,No secondary type,50.2,49.8,1.7,76.6,75.0,5120.0,80.0,82.0,78.0,95.0,80.0,85.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,3.0,3.0,0.0,0.0,0.0
1.0,fighting,No secondary type,50.0,50.0,0.5,28.0,190.0,5120.0,40.0,80.0,35.0,35.0,45.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,3.0,3.0,0.0,0.0,0.0
1.0,fighting,No secondary type,50.0,50.0,1.0,32.0,75.0,5120.0,65.0,105.0,60.0,60.0,70.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,3.0,3.0,0.0,0.0,0.0
1.0,fire,No secondary type,75.49,24.51,0.7,19.0,190.0,5120.0,55.0,70.0,45.0,70.0,50.0,60.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,3.0,3.0,0.0,0.0,0.0
1.0,fire,No secondary type,75.49,24.51,1.9,155.0,75.0,5120.0,90.0,110.0,80.0,100.0,80.0,95.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,3.0,3.0,0.0,0.0,0.0
1.0,water,No secondary type,50.2,49.8,0.6,12.4,255.0,5120.0,40.0,50.0,40.0,40.0,40.0,90.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,3.0,7.0,0.0,0.0,0.0
1.0,water,No secondary type,50.2,49.8,1.0,20.0,120.0,5120.0,65.0,65.0,65.0,50.0,50.0,90.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,3.0,7.0,0.0,0.0,0.0
1.0,water,fighting,50.2,49.8,1.3,54.0,45.0,5120.0,90.0,95.0,95.0,70.0,90.0,70.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0,3.0,5.0,0.0,0.0,0.0
1.0,psychic,No secondary type,75.49,24.51,0.9,19.5,200.0,5120.0,25.0,20.0,15.0,105.0,55.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0
1.0,psychic,No secondary type,75.49,24.51,1.3,56.5,100.0,5120.0,40.0,35.0,30.0,120.0,70.0,105.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0
1.0,psychic,No secondary type,75.49,24.51,1.5,48.0,50.0,5120.0,55.0,50.0,45.0,135.0,95.0,120.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,5.0,1.0,0.0,0.0
1.0,fighting,No secondary type,75.49,24.51,0.8,19.5,180.0,5120.0,70.0,80.0,50.0,35.0,35.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,3.0,5.0,0.0,0.0,0.0
1.0,fighting,No secondary type,75.49,24.51,1.5,70.5,90.0,5120.0,80.0,100.0,70.0,50.0,60.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,3.0,5.0,0.0,0.0,0.0
1.0,fighting,No secondary type,75.49,24.51,1.6,130.0,45.0,5120.0,90.0,130.0,80.0,65.0,85.0,55.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,3.0,5.0,0.0,1.0,0.0
1.0,grass,poison,50.0,50.0,0.7,4.0,255.0,5120.0,50.0,75.0,35.0,70.0,30.0,40.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,5.0,0.0,0.0,0.0
1.0,grass,poison,50.0,50.0,1.0,6.4,120.0,5120.0,65.0,90.0,50.0,85.0,45.0,55.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,5.0,0.0,0.0,0.0
1.0,grass,poison,50.0,50.0,1.7,15.5,45.0,5120.0,80.0,105.0,65.0,100.0,70.0,70.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,5.0,0.0,0.0,0.0
1.0,water,poison,50.2,49.8,0.9,45.5,190.0,5120.0,40.0,40.0,35.0,50.0,100.0,70.0,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,3.0,3.0,0.0,0.0,0.0
1.0,water,poison,50.2,49.8,1.6,55.0,60.0,5120.0,80.0,70.0,65.0,80.0,120.0,100.0,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,3.0,3.0,0.0,0.0,0.0
1.0,rock,ground,50.0,50.0,0.4,20.0,255.0,3840.0,40.0,80.0,100.0,30.0,30.0,20.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0
1.0,rock,ground,50.0,50.0,1.0,105.0,120.0,3840.0,55.0,95.0,115.0,45.0,45.0,35.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0
1.0,rock,ground,50.0,50.0,1.4,300.0,45.0,3840.0,80.0,120.0,130.0,55.0,65.0,45.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0
1.0,fire,psychic,50.2,49.8,1.0,30.0,190.0,5120.0,50.0,85.0,55.0,65.0,65.0,90.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,3.0,3.0,0.0,0.0,0.0
1.0,fire,psychic,50.2,49.8,1.7,95.0,60.0,5120.0,65.0,100.0,70.0,80.0,80.0,105.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,3.0,3.0,0.0,0.0,0.0
1.0,water,psychic,50.2,49.8,1.2,36.0,190.0,5120.0,90.0,65.0,65.0,40.0,40.0,15.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,3.0,7.0,0.0,0.0,0.0
1.0,water,psychic,50.2,49.8,1.6,78.5,75.0,5120.0,95.0,75.0,110.0,100.0,80.0,30.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,3.0,7.0,1.0,0.0,0.0
1.0,electric,steel,0.0,0.0,0.3,6.0,190.0,5120.0,25.0,35.0,70.0,95.0,55.0,45.0,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5,3.0,5.0,0.0,0.0,0.0
1.0,electric,steel,0.0,0.0,1.0,60.0,60.0,5120.0,50.0,60.0,95.0,120.0,70.0,70.0,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5,3.0,5.0,0.0,0.0,0.0
1.0,normal,flying,50.2,49.8,0.8,15.0,45.0,5120.0,52.0,90.0,55.0,58.0,62.0,60.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0
1.0,normal,flying,50.0,50.0,1.4,39.2,190.0,5120.0,35.0,85.0,45.0,35.0,35.0,75.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0
1.0,normal,flying,50.0,50.0,1.8,85.2,45.0,5120.0,60.0,110.0,70.0,60.0,60.0,110.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0
1.0,water,No secondary type,50.0,50.0,1.1,90.0,190.0,5120.0,65.0,45.0,55.0,45.0,70.0,45.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,3.0,3.0,0.0,0.0,0.0
1.0,water,ice,50.0,50.0,1.7,120.0,75.0,5120.0,90.0,70.0,80.0,70.0,95.0,70.0,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0
1.0,poison,poison,50.0,50.0,0.9,30.0,190.0,5120.0,80.0,80.0,50.0,40.0,50.0,25.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,3.0,3.0,0.0,0.0,0.0
1.0,poison,poison,50.0,50.0,1.2,30.0,75.0,5120.0,105.0,105.0,75.0,65.0,100.0,50.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,3.0,3.0,0.0,0.0,0.0
